,Autor,Biografia,Novelas,link,Foto
10,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Riacho Doce,http://teledramaturgia.com.br/riacho-doce/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
11,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Pedra Sobre Pedra,http://teledramaturgia.com.br/pedra-sobre-pedra/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
12,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Fera Ferida,http://teledramaturgia.com.br/fera-ferida/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
13,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",A Indomada,http://teledramaturgia.com.br/a-indomada/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
14,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",A Justiceira,http://teledramaturgia.com.br/a-justiceira/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
15,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Meu Bem-Querer,http://teledramaturgia.com.br/meu-bem-querer/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
16,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Suave Veneno,http://teledramaturgia.com.br/suave-veneno/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
17,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Porto dos Milagres,http://teledramaturgia.com.br/porto-dos-milagres/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
18,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Senhora do Destino,http://teledramaturgia.com.br/senhora-do-destino/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
19,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Duas Caras,http://teledramaturgia.com.br/duas-caras/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
20,Aguinaldo Silva,"Aguinaldo Silva nasceu em 7 de junho de 1943 em Carpina, Pernambuco. Jornalista com passagem por O Globo e editor do jornal alternativo O Lampião. Autor de mais de 15 livros publicados, Aguinaldo chegou à TV em 1979, como um dos roteiristas da série Plantão de Polícia, destacando-se na discussão de problemas brasileiros ligados à marginalidade, principalmente no choque entre polícia e bandido. Essa cancha o levou a assinar a minissérie Bandidos da Falange, em 1983, contando com Doc Comparato como colaborador – um aprimorado trabalho sobre a violência na Grande Rio.
Alcançou projeção nacional ao escrever os capítulos de muita audiência de Roque Santeiro, de Dias Gomes, entre 1985 e 1986. Foi coautor de Gilberto Braga em Vale Tudo, em 1988. Em 1989, adaptou o romance “Tieta do Agreste”, de Jorge Amado, com grande êxito. Atravessou os anos 1990 seguindo a linha de novelas regionais com tipos marcantes e realismo fantástico – fórmulas do sucesso de Roque Santeiro e Tieta.
A partir dos anos 2000, retornou ao drama urbano, tendo Senhora do Destino como um de seus maiores êxitos. Em 2015, foi premiado com um Emmy Internacional pela novela Império. Depois de mais de 40 anos de serviços prestados à TV Globo, deixou a emissora, ao final de 2019.
",Cinquentinha,http://teledramaturgia.com.br/cinquentinha/,http://www.teledramaturgia.com.br/wp-content/uploads/2015/01/AGNALDO-SILVA02.png
